feature,importance
week_of_year,3216
product_category,2369
sales_roll_mean_4,1940
sales_lag_1,1467
sales_lag_8,1416
sales_roll_std_4,1379
freight_lag_1,1376
price_momentum,1288
price_roll_mean_4,1264
freight_ratio,1143
sales_lag_2,1009
sales_lag_4,1007
price_lag_1,894
sales_lag_3,848
sellers_lag_1,646
month_sin,593
month_cos,570
weeks_to_bf,436
month,279
